fac1,fac2,cite
http://vivo.brown.edu/individual/eoharrin,http://vivo.brown.edu/individual/qilu,http://vivo.brown.edu/individual/n81912
http://vivo.brown.edu/individual/dtyler,http://vivo.brown.edu/individual/rshieldp,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/dtyler,http://vivo.brown.edu/individual/mlepore,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/rshieldp,http://vivo.brown.edu/individual/dtyler,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/rshieldp,http://vivo.brown.edu/individual/mlepore,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/mlepore,http://vivo.brown.edu/individual/dtyler,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/mlepore,http://vivo.brown.edu/individual/rshieldp,http://vivo.brown.edu/individual/n85835
http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/n22907
http://vivo.brown.edu/individual/smillerp,http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/n22907
http://vivo.brown.edu/individual/jf32,http://vivo.brown.edu/individual/rc30,http://vivo.brown.edu/individual/n92293
http://vivo.brown.edu/individual/rc30,http://vivo.brown.edu/individual/jf32,http://vivo.brown.edu/individual/n92293
http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/n99402
http://vivo.brown.edu/individual/drohseno,http://vivo.brown.edu/individual/jtidey,http://vivo.brown.edu/individual/n99402
http://vivo.brown.edu/individual/rreenan,http://vivo.brown.edu/individual/gwessel,http://vivo.brown.edu/individual/n16691
http://vivo.brown.edu/individual/gwessel,http://vivo.brown.edu/individual/rreenan,http://vivo.brown.edu/individual/n16691
http://vivo.brown.edu/individual/bstonest,http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/n15278
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/bstonest,http://vivo.brown.edu/individual/n15278
