id,last,first,label,title
http://vivo.brown.edu/individual/hwanag,Wang,Hui,"Wang, Hui",Associate Professor of Applied Mathematics
http://vivo.brown.edu/individual/hdong,Dong,Hongjie,"Dong, Hongjie",Associate Professor of Applied Mathematics
http://vivo.brown.edu/individual/jg26,Guzman,Johnny,"Guzman, Johnny",Associate Professor of Applied Mathematics
http://vivo.brown.edu/individual/ckahn,Kahn,Coppelia,"Kahn, Coppelia",Professor Emerita of English
http://vivo.brown.edu/individual/ekirk,Kirk,Elizabeth,"Kirk, Elizabeth",Professor Emerita of English
http://vivo.brown.edu/individual/mmandel,Mandel,Maud,"Mandel, Maud","Professor of History and Judaic Studies,  Dean of the College"
http://vivo.brown.edu/individual/dwulff,Wulff,Donna,"Wulff, Donna",Professor Emerita of Religious Studies
http://vivo.brown.edu/individual/rkraemer,Kraemer,Ross,"Kraemer, Ross",Professor Emerita of Religious Studies
http://vivo.brown.edu/individual/ogalor,Galor,Oded,"Galor, Oded",Herbert H. Goldberger Professor of Economics
http://vivo.brown.edu/individual/gdaskalo,Daskalopoulos,Georgios,"Daskalopoulos, Georgios",Professor of Mathematics
http://vivo.brown.edu/individual/nkapoule,Kapouleas,Nicolaos,"Kapouleas, Nicolaos",Professor of Mathematics
http://vivo.brown.edu/individual/bcole,Cole,Brian,"Cole, Brian",Professor of Mathematics
http://vivo.brown.edu/individual/dabramov,Abramovich,Dan,"Abramovich, Dan",Professor of Mathematics
http://vivo.brown.edu/individual/bhassett,Hassett,Brendan,"Hassett, Brendan",Professor of Mathematics
http://vivo.brown.edu/individual/jhoffste,Hoffstein,Jeffrey,"Hoffstein, Jeffrey",Professor of Mathematics
http://vivo.brown.edu/individual/tgoodwil,Goodwillie,Thomas,"Goodwillie, Thomas",Professor of Mathematics
http://vivo.brown.edu/individual/streil,Treil,Sergei,"Treil, Sergei",Professor of Mathematics
http://vivo.brown.edu/individual/djacobso,Jacobson,David,"Jacobson, David",Professor of Judaic Studies
http://vivo.brown.edu/individual/kaarndt,Arndt,Kenneth,"Arndt, Kenneth",Adjunct Professor of Dermatology
http://vivo.brown.edu/individual/echasonp,Chason,Eric,"Chason, Eric","Professor of Engineering,  Director of Graduate Programs for the School of Engineering"
http://vivo.brown.edu/individual/jblume,Blume,Janet,"Blume, Janet","Associate Professor of Engineering,  Senior Associate Dean of Dean of the Faculty"
http://vivo.brown.edu/individual/jarussel,Russell,James,"Russell, James","Associate Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/sparman,Parman,Stephen,"Parman, Stephen","Associate Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/asaal,Saal,Alberto,"Saal, Alberto","Associate Professor of Earth, Environmental and Planetary Sciences"
http://vivo.brown.edu/individual/hewald,Ewald,Holly,"Ewald, Holly",Fellow in Public Humanities 
http://vivo.brown.edu/individual/achart,Hart,Anne,"Hart, Anne","Professor of Neuroscience,  NIH Graduate Partnership Program (NIH GPP) Director"
http://vivo.brown.edu/individual/kbiello,Biello,Katie,"Biello, Katie","Assistant Professor of Behavioral and Social Sciences (Research),  Assistant Professor of Epidemiology (Research)"
http://vivo.brown.edu/individual/hjonsson,Jonsson,Hannes,"Jonsson, Hannes",Adjunct Professor of Chemistry
http://vivo.brown.edu/individual/pandreas,Andreas,Peter,"Andreas, Peter",John Hay Professor of International Studies and Political Science
http://vivo.brown.edu/individual/dlipscom,Lipscombe,Diane,"Lipscombe, Diane","Professor of Neuroscience,  Interim Executive Director of the Brown Institute for Brain Science (BIBS)"
http://vivo.brown.edu/individual/rcheit,Cheit,Ross,"Cheit, Ross",Professor of International and Public Affairs and Professor of Political Science
http://vivo.brown.edu/individual/bsandste,Sandstede,Bjorn,"Sandstede, Bjorn","Professor of Applied Mathematics,  Chair of Applied Mathematics"
http://vivo.brown.edu/individual/mstewart,Stewart,Michael,"Stewart, Michael",Lecturer in English
http://vivo.brown.edu/individual/kschapir,Schapira,Kate,"Schapira, Kate",Lecturer in English
http://vivo.brown.edu/individual/jreadey,Readey,Jonathan,"Readey, Jonathan",Lecturer in English
http://vivo.brown.edu/individual/cdeboerl,DeBoer-Langworthy,Carol,"DeBoer-Langworthy, Carol",Lecturer in English
http://vivo.brown.edu/individual/anurmikk,Nurmikko,Arto,"Nurmikko, Arto","L. Herbert Ballou University Professor of Engineering, Professor of Physics"
http://vivo.brown.edu/individual/bhoeppne,Hoeppner,Bettina,"Hoeppner, Bettina",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/atovar,Tovar,Alison,"Tovar, Alison",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/mskeer,Skeer,Margie,"Skeer, Margie",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/jb66,Braciszewski,Jordan,"Braciszewski, Jordan",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/jhustad,Hustad,John,"Hustad, John",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/kleitemo,Leite-Morris,Kimberly,"Leite-Morris, Kimberly",Adjunct Assistant Professor of Behavioral and Social Sciences
http://vivo.brown.edu/individual/gbublymd,Bubly,Gary,"Bubly, Gary","Clinical Professor of Emergency Medicine,  Clinical Professor of Medicine"
http://vivo.brown.edu/individual/lh15,Hernandez,Lynn,"Hernandez, Lynn","Assistant Professor of Behavioral and Social Sciences (Research),  Assistant Professor of Psychiatry and Human Behavior (Research)"
http://vivo.brown.edu/individual/jmetrik,Metrik,Jane,"Metrik, Jane","Assistant Professor of Behavioral and Social Sciences (Research),  Assistant Professor of Psychiatry and Human Behavior (Research)"
http://vivo.brown.edu/individual/sb38,Becker,Sara,"Becker, Sara","Assistant Professor of Behavioral and Social Sciences (Research),  Assistant Professor of Psychiatry and Human Behavior (Research)"
http://vivo.brown.edu/individual/agoldsch,Goldschmidt,Andrea,"Goldschmidt, Andrea",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/bporton,Porton,Barbara,"Porton, Barbara",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/jprimack,Primack,Jennifer,"Primack, Jennifer",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/junick,Unick,Jessica,"Unick, Jessica",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/sarias1,Arias,Sarah,"Arias, Sarah",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/kstone,Stone,Kristen,"Stone, Kristen",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/sparade,Parade,Stephanie,"Parade, Stephanie",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/crabin,Rabin,Carolyn,"Rabin, Carolyn",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/emoitra,Moitra,Ethan,"Moitra, Ethan",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/bjerskey,Jerskey,Beth,"Jerskey, Beth",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/cfuchs,Fuchs,Cara,"Fuchs, Cara",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/mvantwou,van 't Wout,Mascha,"van 't Wout, Mascha",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/rp11,Palmer,Rohan,"Palmer, Rohan",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/evanree,Van Reen,Eliza,"Van Reen, Eliza",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/ejenning,Jennings,Ernestine,"Jennings, Ernestine",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/ma1,Armey,Michael,"Armey, Michael",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/bgcase,Case,Brady,"Case, Brady",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/dhbarker,Barker,David,"Barker, David",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/cboissea,Boisseau,Christina,"Boisseau, Christina",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/chaassko,Haass-Koffler,Carolina,"Haass-Koffler, Carolina",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/bjandase,Jandasek,Barbara,"Jandasek, Barbara",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/kkemp,Kemp,Kathleen,"Kemp, Kathleen",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/jw33,Wolff,Jennifer,"Wolff, Jennifer",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/jlillis,Lillis,Jason,"Lillis, Jason",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/cconelea,Conelea,Christine,"Conelea, Christine",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/kdemos,Demos,Kathryn,"Demos, Kathryn",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/rl11,Liu,Richard,"Liu, Richard",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/rpapas,Papas,Rebecca,"Papas, Rebecca",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/sv13,Vargas,Sara,"Vargas, Sara",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/kdalrymp,Dalrymple Gaudiano,Kristy,"Dalrymple Gaudiano, Kristy",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/sgarnaat,Garnaat,Sarah,"Garnaat, Sarah",Assistant Professor of Psychiatry and Human Behavior (Research)
http://vivo.brown.edu/individual/ychatav,Chatav Schonbrun,Yael,"Chatav Schonbrun, Yael",Assistant Professor of Psychiatry and Human Behavior (Research)
